TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
85.77,2024-11-04 08:08:13.000000000,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13.000000000,0
52.2,2024-11-04 08:07:01.000000000,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01.000000000,4
345.84,2024-11-04 08:07:04.000000000,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,2024-11-04 08:07:04.000000000,0
145.54,2024-11-04 08:07:09.000000000,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09.000000000,5
7.49,2024-11-04 08:09:44.000000000,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44.000000000,0
246.93,2024-11-04 08:11:38.000000000,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.35,2024-11-04 08:11:38.000000000,2
40.32,2024-11-04 08:11:59.000000000,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59.000000000,2
127.45,2024-11-04 08:11:22.000000000,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22.000000000,0
56.17,2024-11-04 08:08:30.000000000,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30.000000000,3
28.31,2024-11-04 08:09:17.000000000,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,2024-11-04 08:09:17.000000000,2
59.12,2024-11-04 08:06:58.000000000,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58.000000000,4
396.45,2024-11-04 08:11:13.000000000,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,2024-11-04 08:11:13.000000000,2
877.81,2024-11-04 08:07:50.000000000,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50.000000000,0
255.26,2024-11-04 08:10:51.000000000,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,2024-11-04 08:10:51.000000000,1
124.76,2024-11-04 08:06:23.000000000,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23.000000000,1
78.13,2024-11-04 08:12:18.000000000,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,2024-11-04 08:12:18.000000000,2
649.28,2024-11-04 08:11:15.000000000,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,2024-11-04 08:11:15.000000000,1
795.31,2024-11-04 08:11:17.000000000,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,2024-11-04 08:11:17.000000000,2
335.63,2024-11-04 08:07:32.000000000,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.39,2024-11-04 08:07:32.000000000,2
328.47,2024-11-04 08:07:31.000000000,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31.000000000,5
34.02,2024-11-04 08:11:45.000000000,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45.000000000,5
241.42,2024-11-04 08:09:03.000000000,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,2024-11-04 08:09:03.000000000,4
55.32,2024-11-04 08:08:03.000000000,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79,2024-11-04 08:08:03.000000000,1
304.31,2024-11-04 08:09:53.000000000,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,2024-11-04 08:09:53.000000000,2
435.27,2024-11-04 08:11:12.000000000,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12.000000000,3
164.49,2024-11-04 08:10:33.000000000,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33.000000000,4
510.24,2024-11-04 08:11:35.000000000,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,2024-11-04 08:11:35.000000000,2
626.9,2024-11-04 08:07:24.000000000,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,2024-11-04 08:07:24.000000000,3
22.01,2024-11-04 08:06:31.000000000,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,2024-11-04 08:06:31.000000000,5
425.34,2024-11-04 08:07:07.000000000,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,2024-11-04 08:07:07.000000000,0
424.56,2024-11-04 08:09:22.439406336,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,2024-11-04 08:09:22.439406336,2
85.43,2024-11-04 08:06:45.000000000,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45.000000000,1
169.5,2024-11-04 08:08:58.000000000,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.88,2024-11-04 08:08:58.000000000,5
104.63,2024-11-04 08:10:42.000000000,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42.000000000,2
316.95,2024-11-04 08:09:15.000000000,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,2024-11-04 08:09:15.000000000,2
60.54,2024-11-04 08:09:57.000000000,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,2024-11-04 08:09:57.000000000,3
292.56,2024-11-04 08:07:49.000000000,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,2024-11-04 08:07:49.000000000,3
386.52,2024-11-04 08:07:09.000000000,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09.000000000,0
112.07,2024-11-04 08:11:37.000000000,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3,2024-11-04 08:11:37.000000000,0
568.52,2024-11-04 08:09:22.439406336,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,2024-11-04 08:09:22.439406336,0
263.99,2024-11-04 08:11:03.000000000,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,2024-11-04 08:11:03.000000000,3
349.64,2024-11-04 08:08:09.000000000,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09.000000000,0
601.4,2024-11-04 08:08:01.000000000,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2024-11-04 08:08:01.000000000,5
5.77,2024-11-04 08:11:32.000000000,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32.000000000,4
201.33,2024-11-04 08:11:41.000000000,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,2024-11-04 08:11:41.000000000,2
298.42,2024-11-04 08:10:12.000000000,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12.000000000,0
521.06,2024-11-04 08:12:10.000000000,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10.000000000,4
117.28,2024-11-04 08:07:11.000000000,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,2024-11-04 08:07:11.000000000,4
189.12,2024-11-04 08:08:42.000000000,Credit,Indianapolis,Branch,32.0,Engineer,103.0,1.0,977.01,2024-11-04 08:08:42.000000000,0
133.55,2024-11-04 08:10:18.000000000,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18.000000000,4
143.21,2024-11-04 08:09:26.000000000,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26.000000000,3
24.77,2024-11-04 08:12:15.000000000,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15.000000000,4
233.92,2024-11-04 08:08:45.000000000,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2024-11-04 08:08:45.000000000,0
232.12,2024-11-04 08:09:17.000000000,Debit,Fort Worth,ATM,37.0,Engineer,51.0,1.0,6689.87,2024-11-04 08:09:17.000000000,0
211.36,2024-11-04 08:08:22.000000000,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,2024-11-04 08:08:22.000000000,0
91.53,2024-11-04 08:11:36.000000000,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36.000000000,2
120.29,2024-11-04 08:06:50.000000000,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,2024-11-04 08:06:50.000000000,2
174.25,2024-11-04 08:10:29.000000000,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29.000000000,1
183.71,2024-11-04 08:09:51.000000000,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,2024-11-04 08:09:51.000000000,3
345.39,2024-11-04 08:08:16.000000000,Credit,Phoenix,Branch,58.0,Engineer,80.0,1.0,6451.96,2024-11-04 08:08:16.000000000,5
259.91,2024-11-04 08:09:38.000000000,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38.000000000,3
154.71,2024-11-04 08:09:42.000000000,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,2024-11-04 08:09:42.000000000,5
24.56,2024-11-04 08:12:05.000000000,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05.000000000,2
568.07,2024-11-04 08:07:32.000000000,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2024-11-04 08:07:32.000000000,1
9.61,2024-11-04 08:09:10.000000000,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,2024-11-04 08:09:10.000000000,5
392.96,2024-11-04 08:08:38.000000000,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.65,2024-11-04 08:08:38.000000000,0
716.93,2024-11-04 08:08:12.000000000,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,2024-11-04 08:08:12.000000000,2
223.85,2024-11-04 08:08:01.000000000,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,2024-11-04 08:08:01.000000000,0
230.66,2024-11-04 08:10:44.000000000,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,2024-11-04 08:10:44.000000000,0
442.12,2024-11-04 08:08:21.000000000,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,2024-11-04 08:08:21.000000000,0
644.17,2024-11-04 08:08:04.000000000,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04.000000000,5
508.68,2024-11-04 08:09:32.000000000,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2024-11-04 08:09:32.000000000,2
858.63,2024-11-04 08:10:47.000000000,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,2024-11-04 08:10:47.000000000,1
25.36,2024-11-04 08:11:05.000000000,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,2024-11-04 08:11:05.000000000,2
147.62,2024-11-04 08:07:22.000000000,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22.000000000,4
115.02,2024-11-04 08:08:38.000000000,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38.000000000,5
383.37,2024-11-04 08:11:07.000000000,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07.000000000,0
98.54,2024-11-04 08:10:02.000000000,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,2024-11-04 08:10:02.000000000,3
83.24,2024-11-04 08:10:52.000000000,Debit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,2024-11-04 08:10:52.000000000,0
196.16,2024-11-04 08:08:32.000000000,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32.000000000,1
129.94,2024-11-04 08:06:35.000000000,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35.000000000,0
306.9,2024-11-04 08:10:48.000000000,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48.000000000,3
114.98,2024-11-04 08:09:24.000000000,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24.000000000,1
756.59,2024-11-04 08:11:40.000000000,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,2024-11-04 08:11:40.000000000,5
503.76,2024-11-04 08:09:22.000000000,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,2024-11-04 08:09:22.000000000,0
143.03,2024-11-04 08:10:42.000000000,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42.000000000,5
245.54,2024-11-04 08:10:26.000000000,Debit,New York,ATM,25.0,Student,180.0,1.0,985.06,2024-11-04 08:10:26.000000000,2
254.37,2024-11-04 08:06:56.000000000,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,2024-11-04 08:06:56.000000000,3
213.76,2024-11-04 08:09:36.000000000,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,2024-11-04 08:09:36.000000000,3
327.86,2024-11-04 08:06:30.000000000,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2024-11-04 08:06:30.000000000,0
2.5,2024-11-04 08:09:53.000000000,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53.000000000,5
300.08,2024-11-04 08:12:18.000000000,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,2024-11-04 08:12:18.000000000,4
56.98,2024-11-04 08:07:42.000000000,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,2024-11-04 08:07:42.000000000,2
407.65,2024-11-04 08:09:22.439406336,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,2024-11-04 08:09:22.439406336,4
115.83,2024-11-04 08:10:02.000000000,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02.000000000,0
53.57,2024-11-04 08:08:43.000000000,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43.000000000,0
63.34,2024-11-04 08:10:13.000000000,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2024-11-04 08:10:13.000000000,3
317.87,2024-11-04 08:11:32.000000000,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32.000000000,3
331.65,2024-11-04 08:11:00.000000000,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,2024-11-04 08:11:00.000000000,5
5.04,2024-11-04 08:10:48.000000000,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48.000000000,1
214.54,2024-11-04 08:11:56.000000000,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2024-11-04 08:11:56.000000000,3
598.81,2024-11-04 08:10:13.000000000,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13.000000000,5
841.28,2024-11-04 08:09:58.000000000,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,2024-11-04 08:09:58.000000000,1
38.15,2024-11-04 08:07:42.000000000,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.68,2024-11-04 08:07:42.000000000,2
124.72,2024-11-04 08:07:25.000000000,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25.000000000,2
302.45,2024-11-04 08:11:55.000000000,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,2024-11-04 08:11:55.000000000,5
208.04,2024-11-04 08:08:45.000000000,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45.000000000,2
5.77,2024-11-04 08:10:53.000000000,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,2024-11-04 08:10:53.000000000,0
381.33,2024-11-04 08:09:32.000000000,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32.000000000,4
16.16,2024-11-04 08:11:59.000000000,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59.000000000,2
486.08,2024-11-04 08:07:03.000000000,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03.000000000,2
336.39,2024-11-04 08:09:57.000000000,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57.000000000,5
234.57,2024-11-04 08:08:47.000000000,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,2024-11-04 08:08:47.000000000,3
6.0,2024-11-04 08:09:43.000000000,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43.000000000,3
227.14,2024-11-04 08:11:34.000000000,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,2024-11-04 08:11:34.000000000,4
233.74,2024-11-04 08:11:17.000000000,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,2024-11-04 08:11:17.000000000,2
211.36,2024-11-04 08:07:21.000000000,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,2024-11-04 08:07:21.000000000,0
45.85,2024-11-04 08:07:24.000000000,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,2024-11-04 08:07:24.000000000,0
211.36,2024-11-04 08:10:01.000000000,Debit,New York,Online,41.0,Doctor,142.0,5.0,421.93,2024-11-04 08:10:01.000000000,2
415.5,2024-11-04 08:10:23.000000000,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23.000000000,2
265.76,2024-11-04 08:12:18.000000000,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,2024-11-04 08:12:18.000000000,5
69.4,2024-11-04 08:09:04.000000000,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04.000000000,1
332.93,2024-11-04 08:08:14.000000000,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,2024-11-04 08:08:14.000000000,4
267.9,2024-11-04 08:08:34.000000000,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.16,2024-11-04 08:08:34.000000000,5
496.03,2024-11-04 08:09:41.000000000,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41.000000000,1
376.26,2024-11-04 08:09:58.000000000,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58.000000000,1
83.02,2024-11-04 08:11:01.000000000,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,2024-11-04 08:11:01.000000000,1
93.26,2024-11-04 08:12:04.000000000,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,2024-11-04 08:12:04.000000000,2
803.37,2024-11-04 08:08:40.000000000,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,2024-11-04 08:08:40.000000000,2
35.76,2024-11-04 08:11:40.000000000,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.86,2024-11-04 08:11:40.000000000,4
28.53,2024-11-04 08:06:30.000000000,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 08:06:30.000000000,1
139.53,2024-11-04 08:07:31.000000000,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,2024-11-04 08:07:31.000000000,2
307.57,2024-11-04 08:06:33.000000000,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 08:06:33.000000000,3
60.65,2024-11-04 08:09:22.000000000,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.28,2024-11-04 08:09:22.000000000,1
74.86,2024-11-04 08:07:39.000000000,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,2024-11-04 08:07:39.000000000,2
211.36,2024-11-04 08:09:21.000000000,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,2024-11-04 08:09:21.000000000,0
231.91,2024-11-04 08:12:15.000000000,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,2024-11-04 08:12:15.000000000,2
126.21,2024-11-04 08:08:42.000000000,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,2024-11-04 08:08:42.000000000,4
506.28,2024-11-04 08:09:09.000000000,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,2024-11-04 08:09:09.000000000,3
304.35,2024-11-04 08:08:45.000000000,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2024-11-04 08:08:45.000000000,0
281.85,2024-11-04 08:07:38.000000000,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,2024-11-04 08:07:38.000000000,3
777.88,2024-11-04 08:09:15.000000000,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,2024-11-04 08:09:15.000000000,0
119.18,2024-11-04 08:07:34.000000000,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,2024-11-04 08:07:34.000000000,0
177.19,2024-11-04 08:06:30.000000000,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,2024-11-04 08:06:30.000000000,3
260.88,2024-11-04 08:06:52.000000000,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,2024-11-04 08:06:52.000000000,3
169.47,2024-11-04 08:07:37.000000000,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.16,2024-11-04 08:07:37.000000000,3
73.23,2024-11-04 08:11:12.000000000,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.74,2024-11-04 08:11:12.000000000,5
792.57,2024-11-04 08:10:39.000000000,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,2024-11-04 08:10:39.000000000,4
237.06,2024-11-04 08:07:50.000000000,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,2024-11-04 08:07:50.000000000,5
34.17,2024-11-04 08:06:29.000000000,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.55,2024-11-04 08:06:29.000000000,5
740.25,2024-11-04 08:08:27.000000000,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,2024-11-04 08:08:27.000000000,5
453.54,2024-11-04 08:12:06.000000000,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2024-11-04 08:12:06.000000000,4
300.47,2024-11-04 08:08:00.000000000,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,2024-11-04 08:08:00.000000000,0
110.93,2024-11-04 08:10:53.000000000,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,2024-11-04 08:10:53.000000000,1
201.69,2024-11-04 08:10:16.000000000,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,2024-11-04 08:10:16.000000000,0
399.21,2024-11-04 08:08:21.000000000,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2024-11-04 08:08:21.000000000,5
630.36,2024-11-04 08:12:15.000000000,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,2024-11-04 08:12:15.000000000,2
10.94,2024-11-04 08:11:53.000000000,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,2024-11-04 08:11:53.000000000,5
215.9,2024-11-04 08:10:23.000000000,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,2024-11-04 08:10:23.000000000,0
226.37,2024-11-04 08:09:56.000000000,Debit,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,2024-11-04 08:09:56.000000000,2
444.89,2024-11-04 08:11:50.000000000,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,2024-11-04 08:11:50.000000000,0
280.57,2024-11-04 08:10:24.000000000,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,2024-11-04 08:10:24.000000000,1
488.54,2024-11-04 08:07:26.000000000,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,2024-11-04 08:07:26.000000000,0
3.3,2024-11-04 08:10:11.000000000,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,2024-11-04 08:10:11.000000000,0
199.39,2024-11-04 08:09:06.000000000,Debit,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,2024-11-04 08:09:06.000000000,3
